archivo_original,archivo_nuevo,codigo
WhatsApp_Image_2026-08-23_at_14_59_41.jpeg,A-000-ZAR-S02-000-0-0__1.jpg,A-000-ZAR-S02-000-0-0
IMG_4829.jpeg,A-000-ZAR-S02-000-0-0-NEGRO__1.jpg,A-000-ZAR-S02-000-0-0-NEGRO
IMG_4826.jpeg,A-000-ZAR-S02-000-0-0-NEGRO__2.jpg,A-000-ZAR-S02-000-0-0-NEGRO
6CEFEB26-BDA1-4C6F-B8EC-CE7EEE8722CF.JPG,B-000-RED-S05-502-a-0__1.jpg,B-000-RED-S05-502-a-0
22AA93D9-3DE7-475A-B808-2EDA3D3F1A5F.JPG,E-000-ZAR-S15-000-d-0__1.jpg,E-000-ZAR-S15-000-d-0
046C2F22-8D79-41B9-B36F-94BE219F46AA.JPG,E-000-ZAR-S15-000-a-0__1.jpg,E-000-ZAR-S15-000-a-0
848C4B37-46DC-4067-82AA-85484A5ECA28.JPG,G-000-RED-S13-000-0-0__1.jpg,G-000-RED-S13-000-0-0
A29B4673-C4AF-47B8-9CA5-C8C5FB7B8711.JPG,E-000-ZAR-S15-000-d-0__2.jpg,E-000-ZAR-S15-000-d-0
A288521D-3B3C-4171-AD9A-3A88C3C3F6A1.JPG,F-000-RED-S26-000-0-0__1.jpg,F-000-RED-S26-000-0-0
IMG_4811.HEIC,B-003-RED-S05-002-da-0__1.jpg,B-003-RED-S05-002-da-0
IMG_4813.heic,B-003-RED-S05-002-da-0__2.jpg,B-003-RED-S05-002-da-0
IMG_4814.HEIC,B-003-RED-S05-002-da-0__3.jpg,B-003-RED-S05-002-da-0
